Id,Creation Time,Tags,network_name,Task,n_steps,Model,MOGen_max_order,MOGen_n_walks,n_start_nodes,path_format,lr,n_epochs,loss,target_prediction,node_features,egde_features,MOGen_training_mode,training_dates,n_training_paths,eval_mode,failure_rate,mean_abs_err,median_abs_err,choice_accuracy,test_dates,n_test_paths,selection_start,selection_end,selection_step,Running Time,MOGen_optimal_order,weight
ROUT-351,2024-01-26 10:43:11,[],202208_waypoints_DP10_HDBSCAN20_oslo_full_UTM,path,,Dijkstra,,,1,,,,,,,,partial,"['202206', '202207', '202208']",21058,path,0.0,94.56757101047893,32.85146309228173,0.42017208173658527,['202209'],1598,0,-1,4,53.155,,inverse_density
ROUT-350,2024-01-26 10:42:27,[],202208_waypoints_DP10_HDBSCAN20_oslo_full_UTM,path,,Dijkstra,,,1,,,,,,,,partial,"['202206', '202207', '202208']",21058,path,0.0,93.35943654761674,35.684000114966864,0.3728557543857075,['202209'],1598,0,-1,4,44.022,,inverse_passages
ROUT-349,2024-01-26 10:41:55,[],202208_waypoints_DP10_HDBSCAN20_oslo_full_UTM,path,,Dijkstra,,,1,,,,,,,,partial,"['202206', '202207', '202208']",21058,path,0.0,445.47987625359383,234.691581300545,0.13959765851267344,['202209'],1598,0,-1,4,31.497,,length
ROUT-346,2024-01-26 10:36:06,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,path,,Dijkstra,,,1,,,,,,,,partial,"['202204', '202205', '202207']",4449,path,0.0,271.3697470561554,54.88136550644738,0.680072767233653,['202206'],1521,0,-1,1,75.224,,inverse_density
ROUT-345,2024-01-26 10:35:05,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,path,,Dijkstra,,,1,,,,,,,,partial,"['202204', '202205', '202207']",4449,path,0.0,214.96368396708766,114.00653541529647,0.5060818550993159,['202206'],1521,0,-1,1,60.504,,inverse_passages
ROUT-344,2024-01-26 10:34:23,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,path,,Dijkstra,,,1,,,,,,,,partial,"['202204', '202205', '202207']",4449,path,0.0,536.3592965793762,396.21567066031866,0.14505173224157678,['202206'],1521,0,-1,1,42.463,,length
ROUT-340,2024-01-26 10:31:04,[],202204_waypoints_DP30_HDBSCAN25_stavanger_full_UTM,path,,Dijkstra,,,1,,,,,,,,partial,"['202204', '202205', '202207']",36924,path,0.0,468.3105240838718,14.884185739300028,0.6426567012761758,['202206'],1532,0,-1,8,46.679,,inverse_density
ROUT-339,2024-01-26 10:30:25,[],202204_waypoints_DP30_HDBSCAN25_stavanger_full_UTM,path,,Dijkstra,,,1,,,,,,,,partial,"['202204', '202205', '202207']",36924,path,0.0,382.9728811968216,34.975347342134135,0.5320251653343634,['202206'],1532,0,-1,8,39.071,,inverse_passages
ROUT-338,2024-01-26 10:29:56,[],202204_waypoints_DP30_HDBSCAN25_stavanger_full_UTM,path,,Dijkstra,,,1,,,,,,,,partial,"['202204', '202205', '202207']",36924,path,0.0,600.3000470692498,187.25597962844284,0.16516595525639327,['202206'],1532,0,-1,8,8.592,,length
ROUT-335,2024-01-26 08:47:04,[],202204_waypoints_DP30_HDBSCAN25_stavanger_full_UTM,path,20,Gretel,,1000,1,node2node,5.0E-4,8,target_only,next,"['n_members', 'speed', 'cog_before', 'cog_after', 'lat', 'lon']","['weight', 'direction', 'length']",,"['202204', '202205', '202207']",36924,path,0.06984334203655353,723.5386338470169,22.252024685503848,0.6195727226105784,['202206'],1532,0,-1,8,50.852,,
ROUT-334,2024-01-26 08:37:44,[],202204_waypoints_DP30_HDBSCAN25_stavanger_full_UTM,next_nodes,20,Gretel,,1000,1,node2node,5.0E-4,8,target_only,next,"['n_members', 'speed', 'cog_before', 'cog_after', 'lat', 'lon']","['weight', 'direction', 'length']",,"['202204', '202205', '202207']",36924,path,0.0,2700.709406836512,327.21658458141553,0.5353099730458221,['202206'],371,0,-1,80,14.733,,
ROUT-333,2024-01-26 08:31:35,[],202204_waypoints_DP30_HDBSCAN25_stavanger_full_UTM,next_nodes,15,Gretel,,1000,1,node2node,5.0E-4,8,target_only,next,"['n_members', 'speed', 'cog_before', 'cog_after', 'lat', 'lon']","['weight', 'direction', 'length']",,"['202204', '202205', '202207']",36924,path,0.0,2476.118980648944,226.93233070525295,0.5249238269347959,['202206'],547,0,-1,80,16.799,,
ROUT-332,2024-01-26 08:27:03,[],202204_waypoints_DP30_HDBSCAN25_stavanger_full_UTM,next_nodes,10,Gretel,,1000,1,node2node,5.0E-4,8,target_only,next,"['n_members', 'speed', 'cog_before', 'cog_after', 'lat', 'lon']","['weight', 'direction', 'length']",,"['202204', '202205', '202207']",36924,path,0.0,1627.6354514397592,180.64440179839636,0.5390272835112693,['202206'],843,0,-1,80,16.778,,
ROUT-331,2024-01-25 22:53:15,[],202204_waypoints_DP30_HDBSCAN25_stavanger_full_UTM,next_nodes,5,Gretel,,1000,1,node2node,5.0E-4,8,target_only,next,"['n_members', 'speed', 'cog_before', 'cog_after', 'lat', 'lon']","['weight', 'direction', 'length']",,"['202204', '202205', '202207']",36924,path,0.0,686.0275360270347,36.73193483740307,0.5957735849056603,['202206'],1325,0,-1,80,11.763,,
ROUT-330,2024-01-25 22:50:35,[],202204_waypoints_DP30_HDBSCAN25_stavanger_full_UTM,next_nodes,3,Gretel,,1000,1,node2node,5.0E-4,8,target_only,next,"['n_members', 'speed', 'cog_before', 'cog_after', 'lat', 'lon']","['weight', 'direction', 'length']",,"['202204', '202205', '202207']",36924,path,0.0,399.88602163560677,11.429341133244272,0.6171284634760705,['202206'],1588,0,-1,80,9.078,,
ROUT-329,2024-01-25 22:47:46,[],202204_waypoints_DP30_HDBSCAN25_stavanger_full_UTM,next_nodes,2,Gretel,,1000,1,node2node,5.0E-4,8,target_only,next,"['n_members', 'speed', 'cog_before', 'cog_after', 'lat', 'lon']","['weight', 'direction', 'length']",,"['202204', '202205', '202207']",36924,path,0.0,295.99339074489717,0.0,0.653314121037464,['202206'],1735,0,-1,80,6.529,,
ROUT-328,2024-01-25 22:43:37,[],202204_waypoints_DP30_HDBSCAN25_stavanger_full_UTM,next_nodes,1,Gretel,,1000,1,node2node,5.0E-4,8,target_only,next,"['n_members', 'speed', 'cog_before', 'cog_after', 'lat', 'lon']","['weight', 'direction', 'length']",,"['202204', '202205', '202207']",36924,path,0.0,183.93232608939527,0.0,0.7367584745762712,['202206'],1888,0,-1,80,3.79,,
ROUT-327,2024-01-25 13:08:18,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,next_nodes,20,Gretel,,1000,1,node2node,5.0E-4,6,log_dot_loss,next,"['n_members', 'speed', 'cog_before', 'cog_after', 'lat', 'lon']","['direction', 'weight', 'length']",,"['202204', '202205', '202207']",4449,path,0.0,2719.0286565104634,2177.391398337133,0.3312987012987013,['202206'],770,0,-1,20,1.355,,
ROUT-326,2024-01-25 13:05:20,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,next_nodes,15,Gretel,,1000,1,node2node,5.0E-4,6,log_dot_loss,next,"['n_members', 'speed', 'cog_before', 'cog_after', 'lat', 'lon']","['direction', 'weight', 'length']",,"['202204', '202205', '202207']",4449,path,0.0,1549.5845895635737,603.0914140918903,0.4534412955465587,['202206'],988,0,-1,20,22.019,,
ROUT-325,2024-01-25 12:15:52,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,next_nodes,10,Gretel,,1000,1,node2node,5.0E-4,6,log_dot_loss,next,"['n_members', 'speed', 'cog_before', 'cog_after', 'lat', 'lon']","['direction', 'weight', 'length']",,"['202204', '202205', '202207']",4449,path,0.0,783.5833449455,144.61678648231234,0.5486187845303867,['202206'],1267,0,-1,20,22.855,,
ROUT-324,2024-01-25 11:58:39,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,next_nodes,5,Gretel,,1000,1,node2node,5.0E-4,6,log_dot_loss,next,"['n_members', 'speed', 'cog_before', 'cog_after', 'lat', 'lon']","['direction', 'weight', 'length']",,"['202204', '202205', '202207']",4449,path,0.0,289.77583182550563,33.30039786565901,0.640125786163522,['202206'],1590,0,-1,20,14.253,,
ROUT-323,2024-01-25 11:57:48,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,next_nodes,3,Gretel,,1000,1,node2node,5.0E-4,6,log_dot_loss,next,"['n_members', 'speed', 'cog_before', 'cog_after', 'lat', 'lon']","['direction', 'weight', 'length']",,"['202204', '202205', '202207']",4449,path,0.0,160.90587133361407,0.0,0.7092485549132947,['202206'],1730,0,-1,20,7.124,,
ROUT-322,2024-01-25 11:56:15,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,next_nodes,2,Gretel,,1000,1,node2node,5.0E-4,6,log_dot_loss,next,"['n_members', 'speed', 'cog_before', 'cog_after', 'lat', 'lon']","['direction', 'weight', 'length']",,"['202204', '202205', '202207']",4449,path,0.0,112.92734533049237,0.0,0.7423738214087632,['202206'],1803,0,-1,20,4.857,,
ROUT-321,2024-01-25 11:52:27,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,next_nodes,1,Gretel,,1000,1,node2node,5.0E-4,6,log_dot_loss,next,"['n_members', 'speed', 'cog_before', 'cog_after', 'lat', 'lon']","['direction', 'weight', 'length']",,"['202204', '202205', '202207']",4449,path,0.0,72.14942708233346,0.0,0.7935071846726982,['202206'],1879,0,-1,20,3.049,,
ROUT-320,2024-01-25 10:06:58,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,path,20,Gretel,,1000,1,node2node,5.0E-4,6,nll_loss,next,"['n_members', 'speed', 'cog_before', 'cog_after', 'lat', 'lon']","['direction', 'weight', 'length']",,"['202204', '202205', '202207']",4449,path,0.0,310.27296371698446,122.2724721891987,0.4538699524297733,['202206'],1521,0,-1,1,63.489,,
ROUT-319,2024-01-25 09:17:33,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,next_nodes,20,Gretel,,1000,1,node2node,5.0E-4,6,nll_loss,next,"['n_members', 'speed', 'cog_before', 'cog_after', 'lat', 'lon']","['direction', 'weight', 'length']",,"['202204', '202205', '202207']",4449,path,0.0,2569.0591786318955,1881.6184828595233,0.33811688311688315,['202206'],770,0,-1,20,21.782,,
ROUT-318,2024-01-25 09:15:18,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,next_nodes,15,Gretel,,1000,1,node2node,5.0E-4,6,nll_loss,next,"['n_members', 'speed', 'cog_before', 'cog_after', 'lat', 'lon']","['direction', 'weight', 'length']",,"['202204', '202205', '202207']",4449,path,0.0,1478.6178651758325,499.23409375460176,0.46336032388663967,['202206'],988,0,-1,20,2.864,,
ROUT-317,2024-01-25 09:12:44,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,next_nodes,10,Gretel,,1000,1,node2node,5.0E-4,6,nll_loss,next,"['n_members', 'speed', 'cog_before', 'cog_after', 'lat', 'lon']","['direction', 'weight', 'length']",,"['202204', '202205', '202207']",4449,path,0.0,659.2424226162245,117.4952143900716,0.5806629834254144,['202206'],1267,0,-1,20,19.52,,
ROUT-316,2024-01-25 09:06:46,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,next_nodes,5,Gretel,,1000,1,node2node,5.0E-4,6,nll_loss,next,"['n_members', 'speed', 'cog_before', 'cog_after', 'lat', 'lon']","['direction', 'weight', 'length']",,"['202204', '202205', '202207']",4449,path,0.0,254.87026474837393,28.301801049698586,0.6471698113207547,['202206'],1590,0,-1,20,11.991,,
ROUT-315,2024-01-25 09:02:30,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,next_nodes,3,Gretel,,1000,1,node2node,5.0E-4,6,nll_loss,next,"['n_members', 'speed', 'cog_before', 'cog_after', 'lat', 'lon']","['direction', 'weight', 'length']",,"['202204', '202205', '202207']",4449,path,0.0,156.9083439564412,0.0,0.7117533718689788,['202206'],1730,0,-1,20,7.001,,
ROUT-314,2024-01-25 08:29:32,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,next_nodes,2,Gretel,,1000,1,node2node,5.0E-4,6,nll_loss,next,"['n_members', 'speed', 'cog_before', 'cog_after', 'lat', 'lon']","['direction', 'weight', 'length']",,"['202204', '202205', '202207']",4449,path,0.0,115.13589681679264,0.0,0.7365501941209096,['202206'],1803,0,-1,20,5.752,,
ROUT-313,2024-01-25 08:26:31,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,next_nodes,1,Gretel,,1000,1,node2node,5.0E-4,6,nll_loss,next,"['n_members', 'speed', 'cog_before', 'cog_after', 'lat', 'lon']","['direction', 'weight', 'length']",,"['202204', '202205', '202207']",4449,path,0.0,71.40712118175422,0.0,0.7897817988291644,['202206'],1879,0,-1,20,3.521,,
ROUT-312,2024-01-25 08:04:04,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,path,20,Gretel,,1000,1,node2node,5.0E-4,6,target_only,next,"['n_members', 'speed', 'cog_before', 'cog_after', 'lat', 'lon']","['direction', 'weight', 'length']",,"['202204', '202205', '202207']",4449,path,0.020381328073635765,246.13628008539894,78.14248384070672,0.6591995116373812,['202206'],1521,0,-1,1,69.611,,
ROUT-303,2024-01-24 08:03:08,[],202208_waypoints_DP10_HDBSCAN20_oslo_full_UTM,path,20,Gretel,,1000,1,node2node,5.0E-4,9,target_only,next,"['n_members', 'speed', 'cog_before', 'cog_after', 'lat', 'lon']","['weight', 'length', 'direction']",,"['202206', '202207', '202208']",21058,path,0.045682102628285357,154.2768099555861,35.01894552185963,0.39827476908161724,['202209'],1598,0,-1,4,30.395,,
ROUT-302,2024-01-23 21:31:09,[],202208_waypoints_DP10_HDBSCAN20_oslo_full_UTM,next_nodes,20,Gretel,,1000,1,node2node,5.0E-4,9,target_only,next,"['n_members', 'speed', 'cog_before', 'cog_after', 'lat', 'lon']","['weight', 'length', 'direction']",,"['202206', '202207', '202208']",21058,path,0.0,1672.9434675138245,371.0333196081049,0.45129573170731707,['202209'],656,0,-1,40,5.074,,
ROUT-301,2024-01-23 21:13:51,[],202208_waypoints_DP10_HDBSCAN20_oslo_full_UTM,next_nodes,15,Gretel,,1000,1,node2node,5.0E-4,9,target_only,next,"['n_members', 'speed', 'cog_before', 'cog_after', 'lat', 'lon']","['weight', 'length', 'direction']",,"['202206', '202207', '202208']",21058,path,0.0,1071.511103634362,226.16260201456484,0.4667463162086819,['202209'],837,0,-1,40,24.569,,
ROUT-300,2024-01-23 21:03:10,[],202208_waypoints_DP10_HDBSCAN20_oslo_full_UTM,next_nodes,10,Gretel,,1000,1,node2node,5.0E-4,9,target_only,next,"['n_members', 'speed', 'cog_before', 'cog_after', 'lat', 'lon']","['weight', 'length', 'direction']",,"['202206', '202207', '202208']",21058,path,0.0,720.6431102710977,138.97247462156247,0.46799292661361624,['202209'],1131,0,-1,40,23.158,,
ROUT-299,2024-01-23 20:53:44,[],202208_waypoints_DP10_HDBSCAN20_oslo_full_UTM,next_nodes,5,Gretel,,1000,1,node2node,5.0E-4,9,target_only,next,"['n_members', 'speed', 'cog_before', 'cog_after', 'lat', 'lon']","['weight', 'length', 'direction']",,"['202206', '202207', '202208']",21058,path,0.0,392.3330454986509,88.49757702769377,0.45737100737100744,['202209'],1628,0,-1,40,18.123,,
ROUT-298,2024-01-23 20:46:39,[],202208_waypoints_DP10_HDBSCAN20_oslo_full_UTM,next_nodes,3,Gretel,,1000,1,node2node,5.0E-4,9,target_only,next,"['n_members', 'speed', 'cog_before', 'cog_after', 'lat', 'lon']","['weight', 'length', 'direction']",,"['202206', '202207', '202208']",21058,path,0.0,290.7038758757365,52.587306986775744,0.47197329116148307,['202209'],1897,0,-1,40,13.183,,
ROUT-297,2024-01-23 20:41:54,[],202208_waypoints_DP10_HDBSCAN20_oslo_full_UTM,next_nodes,2,Gretel,,1000,1,node2node,5.0E-4,9,target_only,next,"['n_members', 'speed', 'cog_before', 'cog_after', 'lat', 'lon']","['weight', 'length', 'direction']",,"['202206', '202207', '202208']",21058,path,0.0,239.24894226457687,28.345716802785034,0.5153958944281525,['202209'],2046,0,-1,40,9.583,,
ROUT-296,2024-01-23 20:38:20,[],202208_waypoints_DP10_HDBSCAN20_oslo_full_UTM,next_nodes,1,Gretel,,1000,1,node2node,5.0E-4,9,target_only,next,"['n_members', 'speed', 'cog_before', 'cog_after', 'lat', 'lon']","['weight', 'length', 'direction']",,"['202206', '202207', '202208']",21058,path,0.0,132.87383807130908,0.0,0.5915684496826836,['202209'],2206,0,-1,40,6.122,,
ROUT-295,2024-01-23 18:36:47,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,next_nodes,20,Gretel,,1000,1,node2node,5.0E-4,6,target_only,next,"['n_members', 'speed', 'cog_before', 'cog_after', 'lat', 'lon']","['direction', 'weight', 'length']",,"['202204', '202205', '202207']",4449,path,0.0,767.2599024032693,164.31205359274122,0.6201948051948052,['202206'],770,0,-1,20,9.427,,
ROUT-294,2024-01-23 12:18:32,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,next_nodes,15,Gretel,,1000,1,node2node,5.0E-4,6,target_only,next,"['n_members', 'speed', 'cog_before', 'cog_after', 'lat', 'lon']","['direction', 'weight', 'length']",,"['202204', '202205', '202207']",4449,path,0.0,595.1194951286725,125.48103003130734,0.6237516869095816,['202206'],988,0,-1,20,23.437,,
ROUT-293,2024-01-23 12:08:20,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,next_nodes,10,Gretel,,1000,1,node2node,5.0E-4,6,target_only,next,"['n_members', 'speed', 'cog_before', 'cog_after', 'lat', 'lon']","['direction', 'weight', 'length']",,"['202204', '202205', '202207']",4449,path,0.0,448.5717401750029,94.38825255606048,0.6288082083662194,['202206'],1267,0,-1,20,19.31,,
ROUT-292,2024-01-23 11:53:38,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,next_nodes,5,Gretel,,1000,1,node2node,5.0E-4,6,target_only,next,"['n_members', 'speed', 'cog_before', 'cog_after', 'lat', 'lon']","['direction', 'weight', 'length']",,"['202204', '202205', '202207']",4449,path,0.0,251.41402231789692,27.352344129051545,0.6596226415094341,['202206'],1590,0,-1,20,14.164,,
ROUT-291,2024-01-23 11:43:50,[],202204_waypoints_DP10_HDBSCAN13_tromso_full_UTM,next_nodes,3,Gretel,,1000,1,node2node,5.0E-4,6,target_only,next,"['n_members', 'speed', 'cog_before', 'cog_after', 'lat', 'lon']","['direction', 'weight', 'length']",,"['202204', '202205', '202207']",4449,path,0.0,161.30422796117986,0.0,0.7186897880539499,['202206'],1730,0,-1,20,6.888,,
